reading,time
7.39,11:10:00
7.39,11:10:01
7.38,11:10:01
7.38,11:10:02
7.38,11:10:03
7.38,11:10:04
7.38,11:10:04
7.37,11:10:05
7.37,11:10:06
7.37,11:10:06
7.37,11:10:07
7.38,11:10:08
7.38,11:10:09
7.39,11:10:09
7.39,11:10:10
7.4,11:10:11
7.41,11:10:11
7.41,11:10:12
7.41,11:10:13
7.42,11:10:13
7.41,11:10:14
7.41,11:10:15
7.41,11:10:16
7.41,11:10:16
7.42,11:10:17
7.42,11:10:18
7.42,11:10:18
7.43,11:10:19
7.44,11:10:20
7.43,11:10:21
7.44,11:10:21
7.43,11:10:22
7.43,11:10:23
7.44,11:10:23
7.43,11:10:24
7.44,11:10:25
7.43,11:10:25
7.42,11:10:26
7.41,11:10:27
7.4,11:10:28
7.39,11:10:28
7.39,11:10:29
7.38,11:10:30
7.38,11:10:30
7.39,11:10:31
7.39,11:10:32
7.39,11:10:33
7.4,11:10:33
7.39,11:10:34
7.4,11:10:35
7.4,11:10:35
7.42,11:10:36
7.42,11:10:37
7.43,11:10:37
7.44,11:10:38
7.44,11:10:39
7.44,11:10:40
7.44,11:10:40
7.45,11:10:41
7.44,11:10:42
7.44,11:10:42
7.43,11:10:43
7.43,11:10:44
7.42,11:10:45
7.42,11:10:45
7.42,11:10:46
7.42,11:10:47
7.41,11:10:47
7.41,11:10:48
7.41,11:10:49
7.41,11:10:49
7.41,11:10:50
7.41,11:10:51
7.41,11:10:52
7.41,11:10:52
7.42,11:10:53
7.43,11:10:54
7.43,11:10:54
7.44,11:10:55
7.44,11:10:56
7.44,11:10:57
7.44,11:10:57
7.44,11:10:58
7.44,11:10:59
7.43,11:10:59
7.43,11:11:00
7.43,11:11:01
7.42,11:11:01
7.41,11:11:02
7.4,11:11:03
7.4,11:11:04
7.38,11:11:04
7.38,11:11:05
7.38,11:11:06
7.38,11:11:06
7.37,11:11:07
7.37,11:11:08
7.37,11:11:08
7.37,11:11:09
7.38,11:11:10
7.38,11:11:11
7.38,11:11:11
7.39,11:11:12
7.4,11:11:13
7.41,11:11:13
7.42,11:11:14
7.42,11:11:15
7.43,11:11:16
7.44,11:11:16
7.44,11:11:17
7.43,11:11:18
7.42,11:11:18
7.42,11:11:19
7.42,11:11:20
7.42,11:11:20
7.41,11:11:21
7.4,11:11:22
7.4,11:11:23
7.4,11:11:23
7.4,11:11:24
7.4,11:11:25
7.4,11:11:25
7.41,11:11:26
7.41,11:11:27
7.41,11:11:28
7.42,11:11:28
7.42,11:11:29
7.42,11:11:30
7.43,11:11:30
7.43,11:11:31
7.43,11:11:32
7.43,11:11:32
7.44,11:11:33
7.44,11:11:34
7.45,11:11:35
7.45,11:11:35
7.45,11:11:36
7.45,11:11:37
7.45,11:11:37
7.45,11:11:38
7.45,11:11:39
7.45,11:11:40
7.46,11:11:40
7.46,11:11:41
7.45,11:11:42
7.46,11:11:42
7.47,11:11:43
7.47,11:11:44
7.48,11:11:44
7.48,11:11:45
7.48,11:11:46
7.47,11:11:47
7.46,11:11:47
7.46,11:11:48
7.45,11:11:49
7.45,11:11:49
7.44,11:11:50
7.44,11:11:51
7.43,11:11:52
7.43,11:11:52
7.42,11:11:53
7.42,11:11:54
7.42,11:11:54
7.42,11:11:55
7.42,11:11:56
7.43,11:11:56
7.43,11:11:57
7.44,11:11:58
7.44,11:11:59
7.44,11:11:59
7.44,11:12:00
7.44,11:12:01
7.44,11:12:01
7.43,11:12:02
7.42,11:12:03
7.41,11:12:03
7.4,11:12:04
7.4,11:12:05
7.39,11:12:06
7.39,11:12:06
7.39,11:12:07
7.39,11:12:08
7.39,11:12:08
7.39,11:12:09
7.4,11:12:10
7.4,11:12:11
7.4,11:12:11
7.4,11:12:12
7.4,11:12:13
7.4,11:12:13
7.4,11:12:14
7.4,11:12:15
7.41,11:12:15
7.4,11:12:16
7.4,11:12:17
7.4,11:12:18
7.4,11:12:18
7.4,11:12:19
7.41,11:12:20
7.4,11:12:20
7.4,11:12:21
7.4,11:12:22
7.4,11:12:23
7.4,11:12:23
7.4,11:12:24
7.4,11:12:25
7.4,11:12:25
7.4,11:12:26
7.4,11:12:27
7.41,11:12:27
7.41,11:12:28
7.41,11:12:29
7.41,11:12:30
7.42,11:12:30
7.42,11:12:31
7.43,11:12:32
7.43,11:12:32
7.43,11:12:33
7.43,11:12:34
7.43,11:12:35
7.43,11:12:35
7.43,11:12:36
7.43,11:12:37
7.43,11:12:37
7.43,11:12:38
7.43,11:12:39
7.44,11:12:39
7.44,11:12:40
7.43,11:12:41
7.43,11:12:42
7.43,11:12:42
7.43,11:12:43
7.43,11:12:44
7.43,11:12:44
7.42,11:12:45
7.42,11:12:46
7.43,11:12:47
7.42,11:12:47
7.43,11:12:48
7.43,11:12:49
7.43,11:12:49
7.43,11:12:50
7.43,11:12:51
7.43,11:12:51
7.43,11:12:52
7.43,11:12:53
7.43,11:12:54
7.42,11:12:54
7.43,11:12:55
7.43,11:12:56
7.43,11:12:56
7.42,11:12:57
7.44,11:12:58
7.43,11:12:58
7.43,11:12:59
7.43,11:13:00
7.43,11:13:01
7.43,11:13:01
7.43,11:13:02
7.43,11:13:03
7.43,11:13:03
7.43,11:13:04
7.43,11:13:05
7.43,11:13:06
7.43,11:13:06
7.42,11:13:07
7.42,11:13:08
7.41,11:13:08
7.41,11:13:09
7.41,11:13:10
7.41,11:13:10
7.4,11:13:11
7.4,11:13:12
7.41,11:13:13
7.41,11:13:13
7.41,11:13:14
7.41,11:13:15
7.41,11:13:15
7.41,11:13:16
7.41,11:13:17
7.41,11:13:18
