reading,time
12.42,20:38:47
12.31,20:38:47
12.21,20:38:48
12.11,20:38:49
12.03,20:38:49
11.96,20:38:50
11.89,20:38:50
11.84,20:38:51
11.8,20:38:52
11.76,20:38:52
11.74,20:38:53
11.73,20:38:53
11.74,20:38:54
11.79,20:38:55
11.85,20:38:55
11.91,20:38:56
11.92,20:38:57
11.91,20:38:57
11.9,20:38:58
11.92,20:38:58
11.96,20:38:59
12.03,20:39:00
12.09,20:39:00
12.16,20:39:01
12.23,20:39:01
12.3,20:39:02
12.37,20:39:03
12.46,20:39:03
12.54,20:39:04
12.62,20:39:04
12.69,20:39:05
12.76,20:39:06
12.83,20:39:06
12.9,20:39:07
12.97,20:39:07
13.03,20:39:08
13.09,20:39:09
13.15,20:39:09
13.2,20:39:10
13.25,20:39:10
13.3,20:39:11
13.35,20:39:12
13.41,20:39:12
13.46,20:39:13
13.52,20:39:13
13.56,20:39:14
13.62,20:39:15
13.67,20:39:15
13.72,20:39:16
13.77,20:39:16
13.82,20:39:17
13.88,20:39:18
13.93,20:39:18
13.98,20:39:19
14.03,20:39:19
14.08,20:39:20
14.13,20:39:21
14.18,20:39:21
14.22,20:39:22
14.27,20:39:23
14.31,20:39:23
14.35,20:39:24
14.39,20:39:24
14.43,20:39:25
14.47,20:39:26
14.5,20:39:26
14.53,20:39:27
14.56,20:39:27
14.59,20:39:28
14.62,20:39:29
14.65,20:39:29
14.67,20:39:30
14.69,20:39:30
14.71,20:39:31
14.74,20:39:32
14.75,20:39:32
14.77,20:39:33
14.79,20:39:33
14.81,20:39:34
14.93,20:39:35
15.18,20:39:35
15.54,20:39:36
16.17,20:39:36
16.5,20:39:37
15.36,20:39:38
13.88,20:39:38
12.88,20:39:39
12.75,20:39:39
12.72,20:39:40
13.27,20:39:41
14.61,20:39:41
15.09,20:39:42
15.03,20:39:42
14.91,20:39:43
14.77,20:39:44
14.58,20:39:44
14.36,20:39:45
14.19,20:39:46
14.05,20:39:46
13.91,20:39:47
13.79,20:39:47
13.65,20:39:48
13.51,20:39:49
13.37,20:39:49
13.22,20:39:50
13.08,20:39:50
12.93,20:39:51
12.79,20:39:52
12.66,20:39:52
12.53,20:39:53
12.39,20:39:53
12.26,20:39:54
12.14,20:39:55
12.01,20:39:55
11.89,20:39:56
11.77,20:39:56
11.66,20:39:57
11.54,20:39:58
11.43,20:39:58
11.32,20:39:59
11.22,20:39:59
11.11,20:40:00
11.01,20:40:01
10.92,20:40:01
10.82,20:40:02
10.73,20:40:02
10.64,20:40:03
10.55,20:40:04
10.46,20:40:04
10.38,20:40:05
10.29,20:40:05
10.21,20:40:06
10.13,20:40:07
10.05,20:40:07
9.98,20:40:08
9.9,20:40:08
9.83,20:40:09
9.76,20:40:10
9.7,20:40:10
9.63,20:40:11
9.58,20:40:12
9.53,20:40:12
9.49,20:40:13
9.46,20:40:13
9.44,20:40:14
9.42,20:40:15
9.4,20:40:15
9.39,20:40:16
9.39,20:40:16
9.39,20:40:17
9.39,20:40:18
9.39,20:40:18
9.39,20:40:19
9.38,20:40:19
9.37,20:40:20
9.36,20:40:21
9.35,20:40:21
9.35,20:40:22
9.34,20:40:22
9.34,20:40:23
9.34,20:40:24
9.33,20:40:24
9.33,20:40:25
9.33,20:40:25
9.34,20:40:26
9.34,20:40:27
9.34,20:40:27
9.34,20:40:28
9.34,20:40:28
9.33,20:40:29
9.32,20:40:30
9.31,20:40:30
9.3,20:40:31
9.29,20:40:31
9.27,20:40:32
9.26,20:40:33
9.25,20:40:33
9.24,20:40:34
9.22,20:40:34
9.21,20:40:35
9.19,20:40:36
9.17,20:40:36
